"LOCATION_NAME","LONGITUDE","LATITUDE"
"IETT Garaj-Topkapi-Tv","28.554692","41.005965"
"KARTAL BÜLENT ECEVİT BELNET ŞUBESİ","28.94416","41.0147"
"031-Caglayan Abide-i Hurriyet Pa","28.981998","41.068341"
"ISBAK-Kagithane Tunel Santiyesi","28.955722","41.065794"
"METRO-T1 Pazartekke","28.92684","41.018475"
"007-Sarachane Itfaiye Baskanligi","28.953559","41.016067"
"038-Otakcilar Otobus Duragi","28.936279","41.037368"
"014-Haci Bektasi Veli Kutuphanesi","28.876527","41.098069"
"METRO-M5 Umraniye Carsi","29.097176","41.02584"
"007-Kadikoy Itfaiye","29.033316","40.991251"
"007-Beyoglu Itfaiye","28.990577","41.048439"
